id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
1,Suzuki Cultus 2016 EURO II for Sale,PKR 17 lacs,2016,"96,508 km",Petrol,1000 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-lahore-9315589
2,Toyota Corolla 2020 Altis Automatic 1.6 for Sale,PKR 48 lacs,2020,"81,303 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-9315562
3,Honda Vezel 2018 Hybrid Z Honda Sensing for Sale,PKR 73.35 lacs,2018,"30,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-lahore-9045047
4,KIA Picanto 2020 1.0 AT for Sale,PKR 32 lacs,2020,"142,132 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-lahore-9254188
5,Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,PKR 45 lacs,2019,"82,114 km",Petrol,1300 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-9261323
6,Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 54 lacs,2018,"67,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-9315648
7,Suzuki Mehran 2006 VXR for Sale,PKR 6.49 lacs,2006,"95,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-lahore-9272255
8,Daihatsu Boon 2019 Cilq for Sale,PKR 38.5 lacs,2019,"66,216 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/daihatsu-boon-2019-for-sale-in-lahore-9189989
9,Toyota Prius 2011 S 1.8 for Sale,PKR 40 lacs,2011,"94,994 km",Hybrid,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-lahore-9175264
10,KIA Sportage 2020 AWD for Sale,PKR 67.5 lacs,2020,"86,000 km",Petrol,2000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-9315586
11,KIA Sportage 2020 AWD for Sale,PKR 68.5 lacs,2020,"67,000 km",Petrol,2000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-9315571
12,Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 61.5 lacs,2021,"45,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-9315548
13,Haval H6 2024 1.5T for Sale,PKR 96 lacs,2024,"2,200 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-lahore-9315759
14,Daihatsu Cuore 2008 for Sale,PKR 9.5 lacs,2008,"232,065 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-lahore-9315752
15,Mercedes Benz E Class 4th (W212) Generation 2012 E200 for Sale,PKR 1.1 crore,2012,"140,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2012-for-sale-in-lahore-9315738
16,Toyota Corolla 2015 Altis Automatic 1.6 for Sale,PKR 42 lacs,2015,"150,571 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-9315576
17,DFSK Glory 580 2021 Pro for Sale,PKR 48.9 lacs,2021,"58,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-9176414
18,United Bravo 2019 Base Grade for Sale,PKR 8.6 lacs,2019,"44,650 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-9283805
19,Suzuki Bolan 2017 VX Euro II for Sale,PKR 1.19 lacs,2017,"70,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-bolan-2017-for-sale-in-lahore-9315680
20,KIA Picanto 2020 1.0 AT for Sale,PKR 24 lacs,2020,"70,000 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-lahore-9312959
21,Suzuki Mehran 2018 VXR Euro II for Sale,PKR 12.5 lacs,2018,"50,000 km",Petrol,796 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-lahore-9315665
22,Daihatsu Cuore 2007 CX Eco for Sale,PKR 10.5 lacs,2007,"114,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/daihatsu-cuore-2007-for-sale-in-lahore-9315642
23,Suzuki Bolan 2015 for Sale,PKR 7.2 lacs,2015,"90,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-bolan-2015-for-sale-in-lahore-9315634
24,Honda Civic Reborn 2007 VTi 1.8 i-VTEC for Sale,PKR 18.25 lacs,2007,1 km,Petrol,1800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-lahore-8972475
25,Mitsubishi Lancer 2006 GLX 1.3 for Sale,PKR 16.5 lacs,2006,"280,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-lahore-9315613
26,Honda Civic 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 26.8 lacs,2012,"123,500 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-9300046
27,KIA Rio 2020 for Sale,PKR 44 lacs,2020,"40,000 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-rio-2020-for-sale-in-lahore-9178567
